id,sentence,graph,variable_name,predicate,broad_aspect,specific_aspect,notes
"pear_story.72
"," Cross paths.
","(s72c / cross-01
  :ARG1 (s72p2 / path
          :refer-number plural)
  :aspect blank)
",s72c,cross.01,performance,,
"pear_story.73
"," And he kind of watches her go by .
","(s73w / watch-01
        :ARG0 (s73p / person
                :refer-person 3rd
                :refer-number singular)
        :ARG1 (s73g / go-01
                :ARG1 (s73p2 / person
                        :refer-person 3rd
                        :refer-number singular)
                :direction (s73b / by)
                :aspect blank)
        :degree downtoner
        :aspect blank)
",s73w,watch.01,activity,,
"pear_story.73
"," And he kind of watches her go by .
","(s73w / watch-01
        :ARG0 (s73p / person
                :refer-person 3rd
                :refer-number singular)
        :ARG1 (s73g / go-01
                :ARG1 (s73p2 / person
                        :refer-person 3rd
                        :refer-number singular)
                :direction (s73b / by)
                :aspect blank)
        :degree downtoner
        :aspect blank)
",s73g,go.01,state,,
"pear_story.74
"," And . . because he's watching her ,
","(s74h / have-cause-01
        :ARG1 (s74e / event)
        :ARG2 (s74w / watch-01
                :ARG0 (s74p / person
                        :refer-person 3rd
                        :refer-number singular)
                :ARG1 (s74p2 / person
                        :refer-person 3rd
                        :refer-number singular)
                :aspect blank))
",s74w,watch.01,state,,
"pear_story.75
"," he when he turns around his hat flies off .
","(s75f / fly-01
        :ARG2 (s75h / hat
                :refer-number singular
                :possessor (s75p / person
                        :refer-person 3rd
                        :refer-number singular))
        :result (s75o / off-07
                :ARG1 s75h
                :ARG2 s75p)
        :temporal (s75t / turn-around-23
                :ARG0 s75p
                :ARG1 s75p
                :aspect blank)
        :aspect blank)
",s75f,fly.01,performance,,
"pear_story.75
"," he when he turns around his hat flies off .
","(s75f / fly-01
        :ARG2 (s75h / hat
                :refer-number singular
                :possessor (s75p / person
                        :refer-person 3rd
                        :refer-number singular))
        :result (s75o / off-07
                :ARG1 s75h
                :ARG2 s75p)
        :temporal (s75t / turn-around-23
                :ARG0 s75p
                :ARG1 s75p
                :aspect blank)
        :aspect blank)
",s75t,turn-around.23,performance,,
"pear_story.77
"," And then he bumps into a rock .
","(s77b / bump-01
        :ARG0 (s77p / person
                :refer-person 3rd
                :refer-number singular)
        :ARG1 (s77r / rock
                :refer-number singular)
        :temporal (s77t / then)
        :aspect blank)
",s77b,bump.01,performance,,
"pear_story.78
"," A--nd . . u--m falls down ,
","(s78f / fall-01
        :ARG1 (s78p / person)
        :ARG4 (s78d / down-01
                :ARG1 s78p)
        :aspect blank)
",s78f,fall.01,performance,,
"pear_story.79
"," and . . the . . pears all s--pray all over the place ,
","(s79s / spray-01
        :ARG1 (s79p / pear
                :quant (s79a / all))
        :ARG2 (s79p2 / place
                :mod (s79a2 / all-over))
        :aspect blank)
",s79s,spray.01,performance,,
"pear_story.80
"," ? and and then . . you see him fall down ,
","(s80s / see-01
        :ARG0 (s80p / person
                :refer-person 2nd
                :refer-definiteness generic)
        :ARG1 (s80f / fall-01
                :ARG1 (s80p2 / person
                        :refer-person 3rd
                        :refer-number singular)
                :ARG4 (s80d / down-01
                        :ARG1 s80p2)
                :aspect blank)
        :temporal (s80t / then)
        :aspect blank)
",s80s,see.01,state,,
"pear_story.80
"," ? and and then . . you see him fall down ,
","(s80s / see-01
        :ARG0 (s80p / person
                :refer-person 2nd
                :refer-definiteness generic)
        :ARG1 (s80f / fall-01
                :ARG1 (s80p2 / person
                        :refer-person 3rd
                        :refer-number singular)
                :ARG4 (s80d / down-01
                        :ARG1 s80p2)
                :aspect blank)
        :temporal (s80t / then)
        :aspect blank)
",s80f,fall.01,performance,,
"pear_story.81
"," and he gets up ,
","(s81g / get-up-26
        :ARG1 (s81p / person
                :refer-person 3rd
                :refer-number singular)
        :aspect blank)
",s81g,get-up.26,performance,,
"pear_story.82
"," and brushes himself off ,
","(s82b / brush-off-04
        :ARG0 (s82p / person
                :refer-person 3rd
                :refer-number singular)
        :ARG1 s82p
        :aspect blank)
",s82b,brush-off.04,endeavor,,
"pear_story.83
"," . . and he goes . . you know {brushing gesture} and then you see three other boys about his age .
","(s83a / and
        :op1 (s83g / go-05
                :ARG0 (s83p / person
                        :refer-person 3rd
                        :refer-number singular)
                :ARG1 (s83g2 / gesture-91
                        :ARG0 s83p
                        :ARG1 (s83b / brush-off-04)
                        :quote s83g)
                :aspect blank)
        :op2 (s83s / see-01
                :ARG0 (s83p2 / person
                        :refer-person 2nd
                        :refer-definiteness generic)
                :ARG1 (s83b2 / boy
                        :quant 3
                        :mod (s83o / other)
                        :ARG1-of (s83h / have-age-91
                                :ARG2 (s83a2 / about
                                        :op1 (s83t / temporal-quantity
                                                :ARG2-of (s83h2 / have-age-91
                                                        :ARG1 s83p)))))
                :aspect state
                :temporal (s83t3 / then)))
",s83g,go.05,endeavor,,
"pear_story.83
"," . . and he goes . . you know {brushing gesture} and then you see three other boys about his age .
","(s83a / and
        :op1 (s83g / go-05
                :ARG0 (s83p / person
                        :refer-person 3rd
                        :refer-number singular)
                :ARG1 (s83g2 / gesture-91
                        :ARG0 s83p
                        :ARG1 (s83b / brush-off-04)
                        :quote s83g)
                :aspect blank)
        :op2 (s83s / see-01
                :ARG0 (s83p2 / person
                        :refer-person 2nd
                        :refer-definiteness generic)
                :ARG1 (s83b2 / boy
                        :quant 3
                        :mod (s83o / other)
                        :ARG1-of (s83h / have-age-91
                                :ARG2 (s83a2 / about
                                        :op1 (s83t / temporal-quantity
                                                :ARG2-of (s83h2 / have-age-91
                                                        :ARG1 s83p)))))
                :aspect state
                :temporal (s83t3 / then)))
",s83s,see.01,state,,
"pear_story.84
"," He's like maybe . . what ,
","(s84h / have-age-91
        :ARG1 (s84p / person
                :refer-person 3rd
                :refer-number singular)
        :ARG2 (s84t / temporal-quantity)
        :aspect blank)
",s84h,have-age.91,state,,
"pear_story.87
"," I don't know .
","(s87k / know-01
        :ARG0 (s87p / person
                :refer-person 1st
                :refer-number singular)
        :ARG1 (s87t / thing)
        :polarity -
        :aspect blank)
",s87k,know.01,state,,
"pear_story.88
"," A--nd and you look at them ,
","(s88l / look-01
        :ARG0 (s88p / person
                :refer-person 2nd
                :refer-definiteness generic)
        :ARG1 (s88p2 / person
                :refer-person 3rd
                :refer-number plural)
        :aspect blank)
",s88l,look.01,state,,
"pear_story.89
"," and and they see him ,
","(s89s / see-01
        :ARG0 (s89p / person
                :refer-person 3rd
                :refer-number plural)
        :ARG1 (s89p2 / person
                :refer-person 3rd
                :refer-number singular)
        :aspect blank)
",s89s,see.01,state,,
"pear_story.90
"," and they come up ,
","(s90c / come-01
        :ARG1 (s90p / person
                :refer-person 3rd
                :refer-number plural)
        :direction (s90u / up-09)
        :aspect blank)
",s90c,come.01,endeavor,,
"pear_story.91
"," a-nd without saying anything ,
","(s91h / have-manner-91
        :ARG1 (s91e / event)
        :ARG2 (s91s / say-01
                :polarity -
                :ARG0 (s91p / person)
                :ARG1 (s91t / thing
                        :mod (s91a / any))
                :aspect blank))
",s91s,say.01,performance,,
"pear_story.92
"," there's no speech in the whole movie .
","(s92h / have-place-91
        :polarity -
        :ARG1(s92s / speech)
        :ARG2 (s92m / movie
                :refer-number singular
                :extent (s92w / whole))
        :aspect blank)
",s92h,have-place.91,stae,,
"pear_story.93
"," Without saying anything ,
","(s93h / have-manner-91
        :ARG1 (s93e / event)
        :ARG2 (s93s / say-01
                :polarity -
                :ARG0 (s93p / person)
                :ARG1 (s93t / thing
                        :mod (s93a / any))
                :aspect blank))
",s93s,say.01,performance,,
"pear_story.94
"," they . . u--m . . help him . . put the pears back in the basket.
","(s94h / help-01
        :ARG0 (s94p / person
                :refer-person 3rd
                :refer-number plural)
        :ARG1 (s94p2 / put-01
                :ARG0 (s94p3 / person
                        :refer-person 3rd
                        :refer-number singular)
                :ARG1 (s94p4 / pear
                        :refer-number plural)
                :ARG2 (s94b / basket
                        :refer-number singular)
                :result (s94b2 / back-17
                        :ARG1 s94p4)
                :aspect blank)
        :ARG2 s94p3
        :aspect blank)
",s94h,help.01,performance,,
"pear_story.94
"," they . . u--m . . help him . . put the pears back in the basket.
","(s94h / help-01
        :ARG0 (s94p / person
                :refer-person 3rd
                :refer-number plural)
        :ARG1 (s94p2 / put-01
                :ARG0 (s94p3 / person
                        :refer-person 3rd
                        :refer-number singular)
                :ARG1 (s94p4 / pear
                        :refer-number plural)
                :ARG2 (s94b / basket
                        :refer-number singular)
                :result (s94b2 / back-17
                        :ARG1 s94p4)
                :aspect blank)
        :ARG2 s94p3
        :aspect blank)
",s94p2,put.01,performance,,
"pear_story.95
"," Only they don't wipe them off first .
","(s95h / have-concession-91
        :ARG1 (s95e / event)
        :ARG2 (s95w / wipe-off-03
                :polarity -
                :ARG0 (s95p / person
                        :refer-person 3rd
                        :refer-number plural)
                :ARG2 (s95t / thing
                        :refer-person 3rd
                        :refer-number plural)
                :ord (s95o / ordinal-entity :value ""1"")
                :aspect blank))
",s95w,wipe-off.03,performance,,
"pear_story.96
"," Just pick them up ,
","(s96p / pick-up-04
        :ARG0 (s96p2 / person)
        :ARG1 (s96t / thing
                :refer-person 3rd
                :refer-number plural)
        :mod (s96j / just)
        :aspect blank)
",s96p,pick-up.04,performance,,
"pear_story.97
"," . . and pour them in .
","(s97a / and
        :op1 (s97e / event)
        :op2 (s97p / pour-01
                :ARG0 (s97p2 / person)
                :ARG1 (s97t / thing
                        :refer-number 3rd
                        :refer-number plural)
                :ARG3 (s97t2 / thing)
                :aspect blank))
",s97p,pour.01,performance,,
"pear_story.98
"," And they-- help him get his bike u--p ,
","(s98h / help-01
        :ARG0 (s98p / person
                :refer-person 3rd
                :refer-number plural)
        :ARG1 (s98g / get-up-26
                :ARG0 (s98p2 / person
                        :refer-person 3rd
                        :refer-number singular)
                :ARG1 (s98b / bike
                        :refer-number singular
                        :possessor s98p2)
                :aspect blank)
        :ARG2 s98p2
        :aspect blank)
",s98h,help.01,endeavor,,
"pear_story.98
"," And they-- help him get his bike u--p ,
","(s98h / help-01
        :ARG0 (s98p / person
                :refer-person 3rd
                :refer-number plural)
        :ARG1 (s98g / get-up-26
                :ARG0 (s98p2 / person
                        :refer-person 3rd
                        :refer-number singular)
                :ARG1 (s98b / bike
                        :refer-number singular
                        :possessor s98p2)
                :aspect blank)
        :ARG2 s98p2
        :aspect blank)
",s98g,get-up.26,performance,,
"pear_story.99
"," and one kid takes the rock that he tripped on and he throws it off to the side of the roa—d ,
","(s99c / consecutive
        :op1 (s99t / take-01
                :ARG0 (s99k / kid
                        :quant 1)
                :ARG1 (s99r / rock
                        :refer-number singular
                        :ARG1-of (s99t2 / trip-04
                                :ARG0 (s99p / person
                                        :refer-person 3rd
                                        :refer-number singular)
                                :aspect blank))
                :aspect blank)
        :op2 (s99t3 / throw-01
                :ARG0 s99k
                :ARG1 s99r
                :ARG2 (s99s / side
                        :refer-number singular
                        :part-of (s99r2 / road
                                :refer-number singular))
                :direction (s99o / off-07)
                :aspect blank))
",s99t,take.01,performance,,
"pear_story.99
"," and one kid takes the rock that he tripped on and he throws it off to the side of the roa—d ,
","(s99c / consecutive
        :op1 (s99t / take-01
                :ARG0 (s99k / kid
                        :quant 1)
                :ARG1 (s99r / rock
                        :refer-number singular
                        :ARG1-of (s99t2 / trip-04
                                :ARG0 (s99p / person
                                        :refer-person 3rd
                                        :refer-number singular)
                                :aspect blank))
                :aspect blank)
        :op2 (s99t3 / throw-01
                :ARG0 s99k
                :ARG1 s99r
                :ARG2 (s99s / side
                        :refer-number singular
                        :part-of (s99r2 / road
                                :refer-number singular))
                :direction (s99o / off-07)
                :aspect blank))
",s99t2,trip.04,performance,,
"pear_story.99
"," and one kid takes the rock that he tripped on and he throws it off to the side of the roa—d ,
","(s99c / consecutive
        :op1 (s99t / take-01
                :ARG0 (s99k / kid
                        :quant 1)
                :ARG1 (s99r / rock
                        :refer-number singular
                        :ARG1-of (s99t2 / trip-04
                                :ARG0 (s99p / person
                                        :refer-person 3rd
                                        :refer-number singular)
                                :aspect blank))
                :aspect blank)
        :op2 (s99t3 / throw-01
                :ARG0 s99k
                :ARG1 s99r
                :ARG2 (s99s / side
                        :refer-number singular
                        :part-of (s99r2 / road
                                :refer-number singular))
                :direction (s99o / off-07)
                :aspect blank))
",s99t3,throw.01,performance,,
"pear_story.100
"," ? and and they set him upright ,
","(s100s / set-01
        :ARG0 (s100p / person
                :refer-person 3rd
                :refer-number plural)
        :ARG1 (s100p2 / person
                :refer-person 3rd
                :refer-number singular)
        :ARG2 (s100u / upright-08)
        :aspect blank)
",s100s,set.01,performance,,
"pear_story.101
"," . . and they . . and then he . . you know they I don't they don't say thank you ,
","(s101s / say-01
        :polarity -
        :ARG0 (s101p / person
                :refer-person 3rd
                :refer-number plural)
        :ARG1 (s101t / thank-01
                :ARG0 s101p
                :ARG2 (s101p2 / person
                        :refer-person 2nd
                        :refer-number singular)
                :aspect state
                :quote s101s)
        :aspect blank)
",s101s,say.01,performance,,
"pear_story.102
"," he just splits .
","(s102s / split-02
        :ARG0 (s102p / person
                :refer-person 3rd
                :refer-number singular)
        :mod (s102j / just)
        :aspect blank)
",s102s,split.02,performance,,
"pear_story.103
"," And then . . they walk . . the three boys walk down the road and they see-- . . the kid's hat .
","(s103a / and
        :op1 (s103w / walk-01
                :ARG0 (s103b / boy
                        :quant 3)
                :ARG2 (s103r / road
                        :refer-number singular)
                :direction (s103d / down-05)
                :aspect blank)
        :op2 (s103s / see-01
                :ARG0 s103b
                :ARG1 (s103h / hat
                        :refer-number singular
                        :possessor (s103k / kid
                                :refer-number singular))
                :aspect blank))
",s103w,walk.01,activity,,
"pear_story.103
"," And then . . they walk . . the three boys walk down the road and they see-- . . the kid's hat .
","(s103a / and
        :op1 (s103w / walk-01
                :ARG0 (s103b / boy
                        :quant 3)
                :ARG2 (s103r / road
                        :refer-number singular)
                :direction (s103d / down-05)
                :aspect blank)
        :op2 (s103s / see-01
                :ARG0 s103b
                :ARG1 (s103h / hat
                        :refer-number singular
                        :possessor (s103k / kid
                                :refer-number singular))
                :aspect blank))
",s103s,see.01,state,,
"pear_story.104
"," And so one of them whistles .
","(s104w / whistle-01
        :ARG0 (s104p / person
                :refer-person 3rd
                :quant 1
                :ARG1-of (s104i / include-91
                        :ARG2 (s104p2 / person
                                :refer-person 3rd
                                :refer-number plural)))
        :reason (s104e / event)
        :aspect blank)
",s104w,whistle.01,endeavor,,
"pear_story.105
"," And the kid on the bike turns around ,
","(s105t / turn-around-23
        :ARG0 (s105k / kid
                :refer-number singular
                :place (s105b / bike
                        :refer-number singular))
        :ARG1 s105k
        :reason (s105e / event)
        :aspect blank)
",s105t,turn-around.23,performance,,
"pear_story.106
"," and then he brings his hat to him ,
","(s106b / bring-01
        :ARG0 (s106p / person
                :refer-person 3rd
                :refer-number singular)
        :ARG1 (s106h / hat
                :refer-number singular
                :possessor (s106p2 / person
                        :refer-person 3rd
                        :refer-number singular))
        :ARG2 s106p2
        :temporal (s106t / then)
        :aspect blank)
",s106b,bring.01,performance,,
"pear_story.107
"," and the g guy on the bike gives the other kids gives the kid that returns his hat . . three pears to share with his buddies.
","(s107g / give-01
        :ARG0 (s107g2 / guy
                :refer-number singular
                :place (s107b / bike
                        :refer-number singular))
        :ARG1 (s107p / pear
                :quant 3)
        :ARG2 (s107k / kid
                :refer-number singular
                :ARG0-of (s107r / return-02
                        :ARG1 (s107h2 / hat
                                :refer-number singular
                                :possessor s107g2)
                        :ARG2 s107g2
                        :aspect blank))
        :purpose (s107s / share-01
                :ARG0 s107k
                :ARG1 s107p
                :ARG2 (s107p2 / person
                        :ARG1-of (s107h3 / have-rel-role-92
                                        :ARG2 s107k
                                        :ARG3 (s107b2 / buddy))
                        :refer-number plural)
                :aspect blank)
        :aspect blank)
",s107g,give.01,performance,,
"pear_story.107
"," and the g guy on the bike gives the other kids gives the kid that returns his hat . . three pears to share with his buddies.
","(s107g / give-01
        :ARG0 (s107g2 / guy
                :refer-number singular
                :place (s107b / bike
                        :refer-number singular))
        :ARG1 (s107p / pear
                :quant 3)
        :ARG2 (s107k / kid
                :refer-number singular
                :ARG0-of (s107r / return-02
                        :ARG1 (s107h2 / hat
                                :refer-number singular
                                :possessor s107g2)
                        :ARG2 s107g2
                        :aspect blank))
        :purpose (s107s / share-01
                :ARG0 s107k
                :ARG1 s107p
                :ARG2 (s107p2 / person
                        :ARG1-of (s107h3 / have-rel-role-92
                                        :ARG2 s107k
                                        :ARG3 (s107b2 / buddy))
                        :refer-number plural)
                :aspect blank)
        :aspect blank)
",s107r,return.02,performance,,
"pear_story.107
"," and the g guy on the bike gives the other kids gives the kid that returns his hat . . three pears to share with his buddies.
","(s107g / give-01
        :ARG0 (s107g2 / guy
                :refer-number singular
                :place (s107b / bike
                        :refer-number singular))
        :ARG1 (s107p / pear
                :quant 3)
        :ARG2 (s107k / kid
                :refer-number singular
                :ARG0-of (s107r / return-02
                        :ARG1 (s107h2 / hat
                                :refer-number singular
                                :possessor s107g2)
                        :ARG2 s107g2
                        :aspect blank))
        :purpose (s107s / share-01
                :ARG0 s107k
                :ARG1 s107p
                :ARG2 (s107p2 / person
                        :ARG1-of (s107h3 / have-rel-role-92
                                        :ARG2 s107k
                                        :ARG3 (s107b2 / buddy))
                        :refer-number plural)
                :aspect blank)
        :aspect blank)
",s107s,share.01,performance,,
"pear_story.108
"," So-- and then he splits .
","(s108s / split-02
        :ARG0 (s108p / person
                :refer-person 3rd
                :refer-number singular)
        :temporal (s108t2 / then)
        :aspect blank)
",s108s,split.02,performance,,
"pear_story.112
"," A--nd um I just remembered another detail .
","(s112r / remember-01
        :ARG0 (s112p / person
                :refer-person 1st
                :refer-number singular)
        :ARG1 (s112d / detail
                :mod (s112a / another)
                :refer-number singular)
        :temporal (s112j / just)
        :aspect blank)
",s112r,remember.01,performance,,
"pear_story.113
"," Before he meets the girl ?
","(s113h / have-temporal-91
        :ARG1 (s113e / event)
        :ARG2 (s113b / before
                :op1 (s113m / meet-03
                        :ARG0 (s113p / person
                                :refer-person 3rd
                                :refer-number singular)
                        :ARG1 (s113g / girl
                                :refer-number singular)
                        :aspect blank)))
",s113m,meet.03,performance,,
"pear_story.115
"," . . it's a bumpy road little dirt road ,
","(s115h / have-mod-91
        :ARG1 (s115r / road
                :refer-number singular)
        :ARG2 (s115a / and
                :op1 (s115b / bumpy)
                :op2 (s115l / little-01)
                :op3 (s115h2 / have-material-91
                        :ARG1 s115r
                        :ARG2 (s115d / dirt)))
        :aspect blank)
",s115h,have-mod.91,state,,
"pear_story.116
"," one of the pears . . flies out .
","(s116f / fly-01
        :ARG2 (s116p / pear
                :quant 1
                :ARG2-of (s116i2 / include-91
                        :ARG1 (s116p2 / pear
                                :refer-number plural)))
        :direction (s116o / out-06)
        :source (s116t2 / thing)
        :cause (s116e / event)
        :aspect blank)
",s116f,fly.01,performance,,
"pear_story.118
"," A--nd u—m then you don't see the kid with the bike with the pears anymore .
","(s118s / see-01
        :polarity -
        :ARG0 (s118p / person
                :refer-person 2nd
                :refer-definiteness generic)
        :ARG1 (s118k / kid
                :refer-number singular
                :possessor-of (s118a / and
                        :op1 (s118b / bike
                                :refer-number singular)
                        :op2 (s118p2 / pear
                                :refer-number plural)))
        :mod (s118a2 / anymore)
        :aspect blank)
",s118s,see.01,state,,
"pear_story.119
"," And the three kids that are walking ,
","(s119k2 / kid
        :quant 3
        :ARG0-of (s119w2 / walk-01
                :aspect blank))
",s119w2,walk.01,activity,,
"pear_story.120
"," one of them has a . . what do you call those little [l.l?] um paddleball?
","(s120h / have-91
        :ARG1 (s120p / person
                :refer-person 3rd
                :quant 1
                :ARG1-of (s120i2 / include-91
                        :ARG2 (s120p2 / person
                                :refer-person 3rd
                                :refer-number plural)))
        :ARG2 (s120p4 / paddleball
                :refer-number singular
                :ARG1-of (s120i / identity-91
                        :ARG2 (s120u / umr-unknown
                                :ARG2-of (s120c / call-01
                                        :ARG0 (s120p3 / person
                                                :refer-person 2nd
                                                :refer-number singular)
                                        :ARG1 (s120t / thing
                                                :refer-number plural
                                                :mod (s120t2 / that)
                                                :ARG1-of (s120l / little-01))
                                        :ARG2 
                                        :mode interrogative
                                        :aspect blank))))
        :aspect blank)
                                        
",s120h,have.91,state,,
"pear_story.120
"," one of them has a . . what do you call those little [l.l?] um paddleball?
","(s120h / have-91
        :ARG1 (s120p / person
                :refer-person 3rd
                :quant 1
                :ARG1-of (s120i2 / include-91
                        :ARG2 (s120p2 / person
                                :refer-person 3rd
                                :refer-number plural)))
        :ARG2 (s120p4 / paddleball
                :refer-number singular
                :ARG1-of (s120i / identity-91
                        :ARG2 (s120u / umr-unknown
                                :ARG2-of (s120c / call-01
                                        :ARG0 (s120p3 / person
                                                :refer-person 2nd
                                                :refer-number singular)
                                        :ARG1 (s120t / thing
                                                :refer-number plural
                                                :mod (s120t2 / that)
                                                :ARG1-of (s120l / little-01))
                                        :ARG2 
                                        :mode interrogative
                                        :aspect blank))))
        :aspect blank)
                                        
",s120c,call.01,habitual,,
"pear_story.121
"," You know ,
","(s121k / know-01
        :ARG0 (s121p / person
                :refer-person 2nd
                :refer-definiteness generic)
        :ARG1 (s121t / thing)
        :aspect blank)
",s121k,know.01,state,,
"pear_story.124
"," So they're walking along ,
","(s124w / walk-01
        :ARG0 (s124p / person
                :refer-person 3rd
                :refer-number plural)
        :ARG2 (s124a / along-01)
        :aspect blank)
",s124w,walk.01,activity,,
"pear_story.125
"," and they brush off their pears ,
","(s125b / brush-off-04
        :ARG0 (s125p / person
                :refer-person 3rd
                :refer-number plural)
        :ARG1 (s125p2 / pear
                :refer-number plural
                :possessor s125p)
        :aspect blank)
",s125b,brush-off.04,endeavor,,
"pear_story.126
"," and they start eating it .
","(s126s / start-01
        :ARG0 (s126p / person
                :refer-person 3rd
                :refer-number plural)
        :ARG1 (s126e / eat-01
                :ARG0 s126p
                :ARG1 (s126t / thing
                        :refer-person 3rd
                        :refer-number singular)
                :aspect blank)
        :aspect blank)
",s126s,start.01,performance,,
"pear_story.126
"," and they start eating it .
","(s126s / start-01
        :ARG0 (s126p / person
                :refer-person 3rd
                :refer-number plural)
        :ARG1 (s126e / eat-01
                :ARG0 s126p
                :ARG1 (s126t / thing
                        :refer-person 3rd
                        :refer-number singular)
                :aspect blank)
        :aspect blank)
",s126e,eat.01,activity,,
"pear_story.127
"," Then they walk by-- the man who was picking the pears .
","(s127w / walk-01
        :ARG0 (s127p / person
                :refer-person 3rd
                :refer-number plural)
        :ARG2 (s127b / by
                :op1 (s127m / man
                        :refer-number singular
                        :ARG0-of (s127p2 / pick-01
                                :ARG1 (s127p3 / pear
                                        :refer-number plural)
                                :aspect blank)))
        :temporal (s127t / then)
        :aspect blank)
",s127w,walk.01,endeavor,,
"pear_story.127
"," Then they walk by-- the man who was picking the pears .
","(s127w / walk-01
        :ARG0 (s127p / person
                :refer-person 3rd
                :refer-number plural)
        :ARG2 (s127b / by
                :op1 (s127m / man
                        :refer-number singular
                        :ARG0-of (s127p2 / pick-01
                                :ARG1 (s127p3 / pear
                                        :refer-number plural)
                                :aspect blank)))
        :temporal (s127t / then)
        :aspect blank)
",s127p2,pick.01,activity,,
"pear_story.128
"," Who looks like a Mexican-American if that's important ?
","(s128l / look-02
        :ARG0 (s128p / person)
        :ARG1 (s128h / have-mod-91
                :ARG1 s128p
                :ARG2 (s128e / ethnic-group
                        :name (s128n / name
                                :op1 ""Mexican-American""))
                :aspect blank)
        :aspect state
        :ARG1-of (s128i2 / important-01
                :polarity (s128u / umr-unknown)
                :aspect blank))
",s128l,look.02,state,,
"pear_story.128
"," Who looks like a Mexican-American if that's important ?
","(s128l / look-02
        :ARG0 (s128p / person)
        :ARG1 (s128h / have-mod-91
                :ARG1 s128p
                :ARG2 (s128e / ethnic-group
                        :name (s128n / name
                                :op1 ""Mexican-American""))
                :aspect blank)
        :aspect state
        :ARG1-of (s128i2 / important-01
                :polarity (s128u / umr-unknown)
                :aspect blank))
",s128h,have-mod.91,state,,
"pear_story.128
"," Who looks like a Mexican-American if that's important ?
","(s128l / look-02
        :ARG0 (s128p / person)
        :ARG1 (s128h / have-mod-91
                :ARG1 s128p
                :ARG2 (s128e / ethnic-group
                        :name (s128n / name
                                :op1 ""Mexican-American""))
                :aspect blank)
        :aspect state
        :ARG1-of (s128i2 / important-01
                :polarity (s128u / umr-unknown)
                :aspect blank))
",s128i2,important.01,state,,
"pear_story.129
"," U-m and he's ge he's getting down out of the tree ,
","(s129g / get-05
        :ARG1 (s129p / person
                :refer-person 3rd
                :refer-number singular)
        :ARG2 (s129d / down-03)
        :source (s129t / tree
                :refer-number singular)
        :aspect blank)
",s129g,get.05,activity,,
"pear_story.130
"," and fucking with the ladder .
","(s130f / fuck-around-04
        :ARG0 (s130p / person)
        :ARG1 (s130l / ladder
                :refer-number singular)
        :aspect blank)
",s130f,fuck-around.04,activity,,
"pear_story.131
"," A--nd he sees . . and and there's one full basket of pears there ,
","(s131h / have-place-91
        :ARG1 (s131b2 / basket
                :quant 1
                :ARG1-of (s131f2 / full-09
                        :ARG2 (s131p2 / pear
                                :refer-number plural)))
        :ARG2 (s131t2 / there)
        :aspect blank)
",s131h,have-place.91,state,,
"pear_story.133
"," And the other full basket is gone .
","(s133g / gone-02
        :ARG1 (s133b / basket
                :refer-number singular
                :ARG1-of (s133o / other-01)
                :ARG1-of (s133f / full-09))
        :aspect blank)
",s133g,gone.02,state,,
"pear_story.134
"," And he goes . . {counting gesture}
","(s134g / go-05
  :ARG0 (s134p / person
          :refer-person 3rd
          :refer-number singular)
  :ARG1 (s134g2 / gesture-91
        :ARG0 s134p
        :ARG1 (s134c / count-01)
        :quote s134g)
  :aspect blank)
",s134g,go.05,endeavor,,
"pear_story.135
"," And he sees the kids walking by and eating their pears .
","(s135s / see-01
        :ARG0 (s135p / person
                :refer-person 3rd
                :refer-number singular)
        :ARG1 (s135a / and
                :op1 (s135w / walk-01
                        :ARG0 (s135k / kid
                                :refer-number plural)
                        :direction (s135b / by)
                        :aspect blank)
                :op2 (s135e / eat-01
                        :ARG0 s135k
                        :ARG1 (s135p2 / pear
                                :refer-number plural
                                :possessor s135k)
                        :aspect blank))
        :aspect blank)
",s135s,see.01,state,,
"pear_story.135
"," And he sees the kids walking by and eating their pears .
","(s135s / see-01
        :ARG0 (s135p / person
                :refer-person 3rd
                :refer-number singular)
        :ARG1 (s135a / and
                :op1 (s135w / walk-01
                        :ARG0 (s135k / kid
                                :refer-number plural)
                        :direction (s135b / by)
                        :aspect blank)
                :op2 (s135e / eat-01
                        :ARG0 s135k
                        :ARG1 (s135p2 / pear
                                :refer-number plural
                                :possessor s135k)
                        :aspect blank))
        :aspect blank)
",s135w,walk.01,activity,,
"pear_story.135
"," And he sees the kids walking by and eating their pears .
","(s135s / see-01
        :ARG0 (s135p / person
                :refer-person 3rd
                :refer-number singular)
        :ARG1 (s135a / and
                :op1 (s135w / walk-01
                        :ARG0 (s135k / kid
                                :refer-number plural)
                        :direction (s135b / by)
                        :aspect blank)
                :op2 (s135e / eat-01
                        :ARG0 s135k
                        :ARG1 (s135p2 / pear
                                :refer-number plural
                                :possessor s135k)
                        :aspect blank))
        :aspect blank)
",s135e,eat.01,activity,,
"pear_story.136
"," . . And he and he looks after them ,
","(s136l / look-01
  :ARG0 (s136p / person
          :refer-person 3rd
          :refer-number singular)
  :ARG1 (s136p2 / person
          :refer-person 3rd
          :refer-number plural)
  :direction (s136a / after-01)
  :aspect blank)
",s136l,look.01,state,,
"pear_story.137
"," and they disappear ,
","(s137d / disappear-01
        :ARG1 (s137p / person
                :refer-person 3rd
                :refer-number plural)
        :aspect blank)
",s137d,disappear.01,performance,,
